Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Longitude,Latitude,Victim Age,Victim Gender,Weapon Used
1,2021-03-27,2020-11-20,01:15,Koparkhairane,109,Cybercrime,72.984823,19.116009,16,Other,Other
2,2020-10-20,2020-02-08,04:41,Vashi,105,Fraud,73.052788,19.18405,71,Other,Other
3,2021-10-21,2020-09-04,14:50,Juhinagar,110,Kidnapping,73.08957,18.973668,42,Female,Other
4,2022-07-20,2020-05-05,17:11,Mansarovar,103,Assault,72.925705,19.034668,56,Female,Gun
5,2021-05-28,2021-01-17,05:15,Kharghar,106,Drug-related crime,73.029484,19.183547,73,Female,Knife
6,2020-12-01,2020-05-21,17:18,Sanpada,106,Drug-related crime,72.955442,19.175559,50,Male,Knife
7,2022-02-12,2020-05-12,16:03,Sanpada,102,Robbery,73.028691,19.102515,24,Male,Fire
8,2022-01-26,2020-03-07,04:33,Juhinagar,107,Homicide,72.983646,19.063906,62,Other,Fire
9,2020-02-21,2020-02-11,17:00,Seawoods,108,Vandalism,72.98565,19.127852,46,Female,Blunt Object
10,2022-04-10,2020-01-29,02:27,Vashi,107,Homicide,72.901907,19.083326,42,Female,Fire
11,2023-08-12,2020-01-17,04:36,Sanpada,108,Vandalism,72.948113,19.127969,14,Other,Other
12,2021-02-21,2020-04-06,01:59,Belapur,107,Homicide,73.0334,19.071607,70,Female,Other
13,2022-01-09,2021-02-11,07:22,Kharghar,104,Burglary,72.913149,19.036473,36,Male,Gun
14,2023-07-03,2022-08-16,03:30,Koparkhairane,109,Cybercrime,72.945174,19.190301,41,Other,Explosives
15,2022-09-21,2020-03-20,07:36,Mansarovar,103,Assault,72.914948,19.066267,24,Female,None
16,2023-09-12,2020-12-08,21:36,Belapur,103,Assault,72.906425,19.109293,77,Female,Blunt Object
17,2021-12-13,2020-01-15,18:32,Vashi,107,Homicide,73.019856,18.978319,44,Male,Other
18,2021-02-23,2020-05-13,13:00,Mansarovar,105,Fraud,72.966965,19.17274,32,Other,Knife
19,2021-02-07,2020-01-03,16:15,Turbhe,106,Drug-related crime,72.91845,18.974993,73,Other,Knife
20,2022-06-06,2022-06-02,03:56,Turbhe,102,Robbery,72.988963,18.95839,54,Male,Blunt Object
21,2023-06-08,2020-04-21,02:55,Juhinagar,108,Vandalism,73.06954,19.083724,46,Female,Blunt Object
22,2023-08-24,2023-01-28,18:16,Sanpada,106,Drug-related crime,72.92724,18.960434,67,Female,Knife
23,2022-03-20,2020-11-10,10:10,Airoli,106,Drug-related crime,73.024854,19.081788,20,Other,Explosives
24,2021-03-13,2020-06-10,10:41,Nerul,108,Vandalism,73.011714,19.185418,77,Male,Gun
25,2024-09-19,2020-11-09,19:22,Kharghar,108,Vandalism,72.966903,19.124517,46,Male,Explosives
26,2022-01-09,2020-03-20,12:03,Juhinagar,106,Drug-related crime,72.961527,18.943794,18,Other,Knife
27,2022-11-24,2021-02-12,09:16,Airoli,106,Drug-related crime,72.907968,18.951141,11,Other,None
28,2024-06-09,2022-05-09,14:21,Airoli,105,Fraud,73.02951,18.963326,78,Female,Explosives
29,2022-01-05,2020-10-19,20:23,Sanpada,101,Theft,72.923555,19.066401,54,Other,Gun
30,2022-01-01,2021-09-25,10:54,Vashi,103,Assault,72.964005,19.172178,36,Female,Blunt Object
31,2023-04-30,2020-09-21,05:15,Seawoods,104,Burglary,73.042897,18.943166,48,Other,Knife
32,2021-03-27,2020-06-01,06:56,Vashi,106,Drug-related crime,73.071984,19.067074,59,Other,Poison
33,2022-12-21,2021-12-20,14:49,Turbhe,109,Cybercrime,73.026334,19.197253,49,Other,Gun
34,2020-08-03,2020-06-11,02:58,Vashi,105,Fraud,73.076679,19.126311,59,Male,Other
35,2024-07-06,2020-08-09,03:07,Mansarovar,103,Assault,73.013497,18.945145,70,Other,None
36,2022-09-23,2022-05-22,01:30,Vashi,108,Vandalism,73.055957,19.064884,16,Other,None
37,2023-01-31,2021-05-21,15:31,Juhinagar,104,Burglary,73.051224,18.969025,32,Female,Blunt Object
38,2023-09-11,2022-04-14,12:22,Nerul,105,Fraud,72.962236,18.989157,22,Male,Gun
39,2023-10-08,2021-05-27,23:05,Juhinagar,105,Fraud,73.046101,19.070604,24,Other,Blunt Object
40,2021-03-14,2021-02-10,06:09,Airoli,110,Kidnapping,72.947516,19.166121,48,Female,Poison
41,2021-07-09,2020-09-09,11:51,Seawoods,107,Homicide,73.086244,19.138682,67,Male,Blunt Object
42,2022-01-01,2020-12-18,04:55,Juhinagar,104,Burglary,72.938061,18.916231,65,Other,Other
43,2023-11-28,2022-05-26,15:46,Turbhe,105,Fraud,72.962249,19.191354,20,Female,Gun
44,2021-07-31,2021-06-23,00:48,Turbhe,102,Robbery,72.980924,18.923383,29,Female,Fire
45,2023-10-24,2020-08-09,16:12,Vashi,106,Drug-related crime,72.917027,18.956502,79,Other,Knife
46,2022-11-11,2020-01-04,23:28,Kharghar,109,Cybercrime,73.036483,18.998313,30,Other,Gun
47,2022-04-17,2021-08-05,13:23,Kharghar,101,Theft,72.987429,18.904217,77,Female,Poison
48,2020-03-06,2020-02-08,22:33,Vashi,109,Cybercrime,73.007985,18.957748,77,Female,Blunt Object
49,2020-10-10,2020-01-10,09:20,Mansarovar,106,Drug-related crime,72.969422,18.936876,67,Male,Gun
50,2024-07-17,2024-03-26,22:51,Nerul,109,Cybercrime,72.91149,18.940592,47,Female,Gun
51,2025-01-04,2024-12-20,20:04,Koparkhairane,103,Assault,73.0099,18.964957,58,Other,Knife
52,2024-09-22,2024-04-05,04:17,Mansarovar,104,Burglary,72.923326,18.985057,10,Male,Knife
53,2024-02-13,2021-12-05,06:53,Vashi,102,Robbery,73.000181,19.056377,69,Other,Knife
54,2023-06-23,2022-06-08,17:05,Seawoods,104,Burglary,72.966955,18.992436,75,Female,Other
55,2021-11-14,2021-06-18,05:44,Nerul,106,Drug-related crime,73.026632,19.064223,63,Other,Other
56,2025-02-03,2023-08-15,18:45,Juhinagar,110,Kidnapping,72.991797,19.176011,15,Male,Gun
57,2023-04-13,2022-04-08,14:43,Kharghar,107,Homicide,72.982593,18.979464,70,Other,None
58,2022-08-25,2021-12-28,22:30,Vashi,109,Cybercrime,73.033884,19.162077,62,Female,Blunt Object
59,2022-10-13,2020-05-27,19:38,Vashi,110,Kidnapping,72.938687,19.131537,74,Other,Poison
60,2023-12-17,2020-12-18,04:43,Vashi,108,Vandalism,72.927246,19.036415,19,Female,Knife
61,2023-08-04,2021-09-21,15:49,Koparkhairane,110,Kidnapping,73.070828,19.030806,39,Male,Poison
62,2020-06-20,2020-06-08,11:35,Turbhe,101,Theft,73.005192,19.18075,40,Female,Knife
63,2024-01-27,2023-10-11,17:01,Sanpada,110,Kidnapping,73.07761,19.193136,22,Male,None
64,2020-06-09,2020-02-24,14:57,Nerul,109,Cybercrime,72.953255,19.100799,22,Male,Poison
65,2024-04-26,2021-03-13,16:38,Koparkhairane,107,Homicide,73.05643,18.937981,77,Female,Other
66,2022-02-07,2020-08-27,16:34,Nerul,109,Cybercrime,73.056787,18.944065,44,Male,Fire
67,2024-02-27,2020-07-28,14:48,Vashi,104,Burglary,73.0784,19.167791,60,Female,Fire
68,2020-12-21,2020-09-22,06:25,Airoli,109,Cybercrime,73.074759,19.011055,48,Male,Blunt Object
69,2023-02-07,2022-11-10,12:24,Turbhe,106,Drug-related crime,73.000874,19.117562,76,Female,Poison
70,2023-09-18,2020-01-19,09:48,Seawoods,109,Cybercrime,73.001715,18.996888,49,Male,Poison
71,2022-03-20,2021-09-15,00:43,Seawoods,109,Cybercrime,72.955302,19.143465,79,Female,Other
72,2021-04-09,2020-08-20,12:41,Koparkhairane,101,Theft,72.922968,19.144208,51,Other,Knife
73,2024-05-24,2021-10-05,16:51,Seawoods,102,Robbery,72.933793,19.105226,72,Other,Knife
74,2022-10-29,2020-11-14,11:57,Vashi,109,Cybercrime,72.977564,19.082112,55,Other,None
75,2022-08-15,2020-11-22,22:02,Kharghar,105,Fraud,72.905503,18.935401,79,Female,Fire
76,2023-08-11,2020-02-05,05:42,Mansarovar,101,Theft,73.041347,19.127292,20,Female,None
